il,ilce,subeVar
Bursa,Orhaneli,false
Bursa,Orhangazi,false
Bursa,Osmangazi,true
Bursa,Yenişehir,false
Bursa,Yıldırım,false
Çanakkale,Ayvacık,false
Çanakkale,Bayramiç,false
Çanakkale,Biga,true
Çanakkale,Bozcaada,false
Çanakkale,Çan,true
Çanakkale,Eceabat,false
Çanakkale,Ezine,true
Çanakkale,Gelibolu,true
Çanakkale,Gökçeada,false
Çanakkale,Lapseki,false
Çanakkale,Merkez,true
Çanakkale,Yenice,false
Çankırı,Atkaracalar,false
Çankırı,Bayramören,false
Çankırı,Çerkeş,false
Çankırı,Eldivan,false
Çankırı,Ilgaz,false
Çankırı,Kızılırmak,false
Çankırı,Korgun,false
Çankırı,Kurşunlu,false
Çankırı,Merkez,false
Çankırı,Orta,false
Çankırı,Şabanözü,false
Çankırı,Yapraklı,false
Çorum,Alaca,false
Çorum,Bayat,false
Çorum,Boğazkale,false
Çorum,Dodurga,false
Çorum,İskilip,false
Çorum,Kargı,false
Çorum,Laçin,false
Çorum,Mecitözü,false
Çorum,Merkez,true
Çorum,Oğuzlar,false
Çorum,Ortaköy,false
Çorum,Osmancık,true
Çorum,Sungurlu,true
Çorum,Uğurludağ,false
Denizli,Acıpayam,true
Denizli,Babadağ,false
Denizli,Baklan,false
Denizli,Bekilli,false
Denizli,Beyağaç,false
Denizli,Bozkurt,false
Denizli,Buldan,false
Denizli,Çal,false
Denizli,Çameli,false
Denizli,Çardak,false
Denizli,Çivril,true
Denizli,Güney,false
Denizli,Honaz,true
Denizli,Kale,true
Denizli,Merkez,true
Denizli,Merkezefendi,false
Denizli,Pamukkale,false
Denizli,Sarayköy,false
Denizli,Serinhisar,false
Denizli,Tavas,false
Diyarbakır,Bağlar,true
Diyarbakır,Bismil,true
Diyarbakır,Çermik,false
Diyarbakır,Çınar,false
Diyarbakır,Çüngüş,false
Diyarbakır,Dicle,false
Diyarbakır,Eğil,false
Diyarbakır,Ergani,true
Diyarbakır,Hani,false
Diyarbakır,Hazro,false
Diyarbakır,Kayapınar,false
Diyarbakır,Kocaköy,false
Diyarbakır,Kulp,false
Diyarbakır,Lice,false
Diyarbakır,Silvan,false
Diyarbakır,Sur,false
Diyarbakır,Yenişehir,false
Düzce,Akçakoca,false
Düzce,Cumayeri,false
Düzce,Çilimli,false
Düzce,Gölyaka,false
Düzce,Gümüşova,false
Düzce,Kaynaşlı,false
Düzce,Merkez,true
Düzce,Yığılca,false
Edirne,Enez,false
Edirne,Havsa,false
Edirne,İpsala,false
Edirne,Keşan,true
Edirne,Lalapaşa,false
Edirne,Meriç,false
Edirne,Merkez,true
Edirne,Süloğlu,false
Edirne,Uzunköprü,false
Elazığ,Ağın,false
Elazığ,Alacakaya,false
Elazığ,Arıcak,false
Elazığ,Baskil,false
Elazığ,Karakoçan,false
Elazığ,Keban,false
Elazığ,Kovancılar,true
Elazığ,Maden,false
Elazığ,Merkez,true
Elazığ,Palu,true
Elazığ,Sivrice,false
Erzincan,Çayırlı,false
Erzincan,İliç,false
Erzincan,Kemah,false
Erzincan,Kemaliye,false
Erzincan,Merkez,true
Erzincan,Otlukbeli,false
Erzincan,Refahiye,false
Erzincan,Tercan,false
Erzincan,Üzümlü,false
Erzurum,Aşkale,false
Erzurum,Aziziye,true
Erzurum,Çat,false
Erzurum,Hınıs,true
Erzurum,Horasan,false
Erzurum,İspir,false
Erzurum,Karaçoban,false
Erzurum,Karayazı,false
Erzurum,Köprüköy,false
Erzurum,Narman,false
Erzurum,Oltu,true
Erzurum,Olur,false
Erzurum,Palandöken,false
Erzurum,Pasinler,false
Erzurum,Pazaryolu,false
Erzurum,Şenkaya,false
Erzurum,Tekman,false
Erzurum,Tortum,false
Erzurum,Uzundere,false
Erzurum,Yakutiye,true
Eskişehir,Alpu,false
Eskişehir,Beylikova,false
Eskişehir,Çifteler,false
Eskişehir,Günyüzü,false
Eskişehir,Han,false
Eskişehir,İnönü,false
Eskişehir,Mahmudiye,false
Eskişehir,Mihalgazi,false
Eskişehir,Mihalıcçık,false
Eskişehir,Odunpazarı,true
Eskişehir,Sarıcakaya,false
Eskişehir,Seyitgazi,false
Eskişehir,Sivrihisar,false
Eskişehir,Tepebaşı,false
Gaziantep,Araban,false
Gaziantep,İslahiye,true
Gaziantep,Karkamış,false
Gaziantep,Nizip,true
Gaziantep,Nurdağı,false
Gaziantep,Oğuzeli,false
Gaziantep,Şahinbey,false
Gaziantep,Şehitkamil,false
Gaziantep,Yavuzeli,false
Giresun,Alucra,false
Giresun,Bulancak,true
Giresun,Çamoluk,false
Giresun,Çanakçı,false
Giresun,Dereli,false
Giresun,Doğankent,false
Giresun,Espiye,false
Giresun,Eynesil,false
Giresun,Görele,false
Giresun,Güce,false
Giresun,Keşap,false
Giresun,Merkez,false
Giresun,Piraziz,false
Giresun,Şebinkarahisar,false
Giresun,Tirebolu,false
Giresun,Yağlıdere,false
Gümüşhane,Kelkit,false
Gümüşhane,Köse,false
Gümüşhane,Kürtün,false
Gümüşhane,Merkez,false
Gümüşhane,Şiran,false
Gümüşhane,Torul,false
Hakkari,Çukurca,false
Hakkari,Merkez,true
Hakkari,Şemdinli,false
Hakkari,Yüksekova,true
Hatay,Altınözü,false
Hatay,Antakya,true
Hatay,Arsuz,true
Hatay,Belen,false
Hatay,Defne,true
Hatay,Dörtyol,true
Hatay,Erzin,false
Hatay,Hassa,false
Hatay,İskenderun,true
Hatay,Kırıkhan,true
Hatay,Kumlu,false
Hatay,Merkez,false
Hatay,Payas,true
Hatay,Reyhanlı,true
Hatay,Samandağ,true
Hatay,Yayladağı,false
Iğdır,Aralık,false
Iğdır,Karakoyunlu,false
Iğdır,Merkez,true
Iğdır,Tuzluca,false
Isparta,Aksu,false
Isparta,Atabey,false
Isparta,Eğirdir,true
Isparta,Gelendost,false
Isparta,Gönen,false
Isparta,Keçiborlu,false
Isparta,Merkez,false
Isparta,Senirkent,false
Isparta,Sütçüler,false
Isparta,Şarkikaraağaç,false
Isparta,Uluborlu,false
Isparta,Yalvaç,true
Isparta,Yenişarbademli,false
İstanbul,Adalar,false
İstanbul,Arnavutköy,true
İstanbul,Ataşehir,true
İstanbul,Avcılar,true
İstanbul,Bağcılar,true
İstanbul,Bahçelievler,true
İstanbul,Bakırköy,true
İstanbul,Başakşehir,true
İstanbul,Bayrampaşa,false
İstanbul,Beşiktaş,true
İstanbul,Beykoz,false
İstanbul,Beylikdüzü,true
İstanbul,Beyoğlu,true
İstanbul,Büyükçekmece,false
İstanbul,Çatalca,true
İstanbul,Çekmeköy,true
İstanbul,Esenler,true
İstanbul,Esenyurt,true
İstanbul,Eyüp,true
İstanbul,Fatih,false
İstanbul,Gaziosmanpaşa,true
İstanbul,Güngören,true
İstanbul,Kadıköy,true
İstanbul,Kağıthane,true
İstanbul,Kartal,true
İstanbul,Küçükçekmece,true
İstanbul,Maltepe,true
İstanbul,Pendik,true
İstanbul,Sancaktepe,false
İstanbul,Sarıyer,true
İstanbul,Silivri,true
İstanbul,Sultanbeyli,false
İstanbul,Sultangazi,false
İstanbul,Şile,false
İstanbul,Şişli,true
İstanbul,Tuzla,true
İstanbul,Ümraniye,true
İstanbul,Üsküdar,true
İstanbul,Zeytinburnu,false
İzmir,Aliağa,true
İzmir,Balçova,true
İzmir,Bayındır,false
İzmir,Bayraklı,true
İzmir,Bergama,true
İzmir,Beydağ,false
İzmir,Bornova,true
İzmir,Buca,true
İzmir,Çeşme,true
İzmir,Çiğli,false
İzmir,Dikili,true
İzmir,Foça,true
İzmir,Gaziemir,false
İzmir,Güzelbahçe,false
İzmir,Karabağlar,true
İzmir,Karaburun,false
İzmir,Karşıyaka,false
İzmir,Kemalpaşa,true
İzmir,Kınık,false
İzmir,Kiraz,false
İzmir,Konak,true
İzmir,Menderes,false
İzmir,Menemen,true
İzmir,Narlıdere,false
İzmir,Ödemiş,true
İzmir,Seferihisar,false
İzmir,Selçuk,true
İzmir,Tire,true
İzmir,Torbalı,true
İzmir,Urla,true
